"id-mapa","anio","mes","dia","fecha","franja","tipo","subtipo","uso_arma","uso_moto","barrio","comuna","latitud","longitud","cantidad"
1444955,"2024","ABRIL","LUNES","2024-04-29",22,"Robo","Robo total","SI","SI","BARRACAS",4,"-34.639083","-58.384326",1
1444956,"2024","ABRIL","LUNES","2024-04-29",5,"Hurto","Hurto total","NO","NO","RETIRO",1,"-34.58062496","-58.37523503",1
1444957,"2024","ABRIL","LUNES","2024-04-29",0,"Hurto","Hurto total","NO","NO","PALERMO",14,"-34.589667","-58.417111",1
1444958,"2024","ABRIL","LUNES","2024-04-29",16,"Hurto","Hurto total","NO","NO","FLORES",7,"-34.62168899","-58.46304424",1
1444959,"2024","ABRIL","LUNES","2024-04-29",7,"Robo","Robo total","NO","NO","NUÑEZ",13,"-34.554481","-58.463544",1
1444960,"2024","ABRIL","LUNES","2024-04-29",17,"Robo","Robo total","NO","SI","LINIERS",9,"-34.64468","-58.50537111",1
1444961,"2024","ABRIL","LUNES","2024-04-29",11,"Hurto","Hurto total","NO","NO","VILLA GRAL. MITRE",11,"-34.60451657","-58.45852",1
1444962,"2024","ABRIL","LUNES","2024-04-29",15,"Hurto","Hurto total","NO","NO","PARQUE AVELLANEDA",9,"-34.64521211","-58.46944644",1
1444963,"2024","ABRIL","LUNES","2024-04-29",13,"Robo","Robo total","NO","NO","PALERMO",14,"-34.564002","-58.441972",1
1444964,"2024","ABRIL","LUNES","2024-04-29",18,"Hurto","Hurto total","NO","NO","VILLA GRAL. MITRE",11,"-34.609038","-58.463442",1
1444965,"2024","ABRIL","LUNES","2024-04-29",21,"Robo","Robo total","NO","SI","NUEVA POMPEYA",4,"-34.65173918","-58.41888858",1
1444966,"2024","ABRIL","LUNES","2024-04-29",15,"Hurto","Hurto total","NO","NO","VILLA CRESPO",15,"-34.59248239","-58.44228323",1
1444967,"2024","ABRIL","LUNES","2024-04-29",16,"Robo","Robo total","NO","NO","VILLA DEL PARQUE",11,"-34.603973","-58.488895",1
1444968,"2024","ABRIL","LUNES","2024-04-29",11,"Robo","Robo total","NO","NO","CHACARITA",15,"-34.580756","-58.457984",1
1444969,"2024","ABRIL","LUNES","2024-04-29",18,"Hurto","Hurto total","NO","NO","CONSTITUCION",1,"-34.62037149","-58.39017055",1
1444970,"2024","ABRIL","LUNES","2024-04-29",0,"Hurto","Hurto total","NO","NO","VILLA ORTUZAR",15,"-34.580076","-58.469451",1
1444971,"2024","ABRIL","LUNES","2024-04-29",20,"Hurto","Hurto total","NO","NO","PARQUE AVELLANEDA",9,"-34.646797","-58.470672",1
1444972,"2024","ABRIL","LUNES","2024-04-29",10,"Robo","Robo total","NO","NO","CONSTITUCION",1,"-34.620064","-58.389737",1
1444973,"2024","ABRIL","LUNES","2024-04-29",9,"Hurto","Hurto total","NO","NO","MATADEROS",9,"-34.656776","-58.498236",1
1444974,"2024","ABRIL","LUNES","2024-04-29",17,"Hurto","Hurto total","NO","NO","SAN NICOLAS",1,"-34.605834","-58.387827",1
1444975,"2024","ABRIL","LUNES","2024-04-29",1,"Robo","Robo total","NO","NO","NUEVA POMPEYA",4,"-34.644263","-58.426594",1
1444976,"2024","ABRIL","LUNES","2024-04-29",20,"Hurto","Hurto total","NO","NO","VILLA CRESPO",15,"-34.59519746","-58.44491109",1
1444977,"2024","ABRIL","LUNES","2024-04-29",22,"Robo","Robo total","NO","NO","VILLA DEL PARQUE",11,"-34.604433","-58.47793",1
1444978,"2024","ABRIL","LUNES","2024-04-29",13,"Hurto","Hurto total","NO","NO","CHACARITA",15,"-34.588064","-58.451464",1
1444979,"2024","ABRIL","LUNES","2024-04-29",13,"Robo","Robo total","SI","NO","NUEVA POMPEYA",4,"-34.644976","-58.427596",1
1444980,"2024","ABRIL","LUNES","2024-04-29",7,"Robo","Robo total","NO","NO","NUEVA POMPEYA",4,"-34.650903","-58.423404",1
1444981,"2024","ABRIL","LUNES","2024-04-29",5,"Hurto","Hurto total","NO","NO","MATADEROS",9,"-34.65818782","-58.5117584",1
1444982,"2024","ABRIL","LUNES","2024-04-29",11,"Hurto","Hurto total","NO","NO","VILLA DEL PARQUE",11,"-34.60015","-58.48336",1
1444983,"2024","ABRIL","LUNES","2024-04-29",7,"Hurto","Hurto total","NO","NO","MATADEROS",9,"-34.658135","-58.510695",1
1444984,"2024","ABRIL","LUNES","2024-04-29",8,"Hurto","Hurto total","NO","NO","VILLA CRESPO",15,"-34.59771656","-58.44019516",1
1444985,"2024","ABRIL","LUNES","2024-04-29",18,"Robo","Robo total","NO","SI","ALMAGRO",5,"-34.608667","-58.426251",1
1444986,"2024","ABRIL","LUNES","2024-04-29",19,"Hurto","Hurto total","NO","NO","MONSERRAT",1,"-34.609084","-58.381957",1
1444987,"2024","ABRIL","LUNES","2024-04-29",19,"Hurto","Hurto total","NO","NO","COLEGIALES",13,"-34.570472","-58.44383",1
1444988,"2024","ABRIL","LUNES","2024-04-29",10,"Robo","Robo total","NO","NO","VILLA CRESPO",15,"-34.59663909","-58.44244819",1
1444989,"2024","ABRIL","LUNES","2024-04-29",11,"Robo","Robo total","NO","NO","NUEVA POMPEYA",4,"-34.647953","-58.428254",1
1444990,"2024","ABRIL","LUNES","2024-04-29",13,"Robo","Robo total","NO","NO","MATADEROS",9,"-34.6539","-58.51102",1
1444991,"2024","ABRIL","LUNES","2024-04-29",18,"Robo","Robo total","SI","NO","MONSERRAT",1,"-34.61407712","-58.37899194",1
1444992,"2024","ABRIL","LUNES","2024-04-29",20,"Hurto","Hurto total","NO","NO","VILLA CRESPO",15,"-34.593779","-58.441083",1
1444993,"2024","ABRIL","LUNES","2024-04-29",21,"Robo","Robo total","NO","NO","CONSTITUCION",1,"-34.620877","-58.378671",1
1444994,"2024","ABRIL","LUNES","2024-04-29",7,"Robo","Robo total","NO","NO","MONSERRAT",1,"-34.61587103","-58.38748648",1
1444995,"2024","ABRIL","LUNES","2024-04-29",8,"Hurto","Hurto total","NO","NO","MATADEROS",9,"-34.646922","-58.500883",1
1444996,"2024","ABRIL","LUNES","2024-04-29",12,"Robo","Robo total","NO","NO","CONSTITUCION",1,"-34.618533","-58.381475",1
1444997,"2024","ABRIL","LUNES","2024-04-29",16,"Hurto","Hurto total","NO","NO","SAN NICOLAS",1,"-34.603232","-58.383704",1
1444998,"2024","ABRIL","LUNES","2024-04-29",11,"Robo","Robo total","NO","NO","MATADEROS",9,"-34.64886333","-58.49733889",1
1444999,"2024","ABRIL","LUNES","2024-04-29",13,"Hurto","Hurto total","NO","NO","SAN TELMO",1,"-34.620595","-58.368441",1
1445000,"2024","ABRIL","MARTES","2024-04-30",0,"Hurto","Hurto total","NO","NO","SAN NICOLAS",1,"-34.605501","-58.38964",1
1445001,"2024","ABRIL","MARTES","2024-04-30",8,"Hurto","Hurto total","NO","NO","MONSERRAT",1,"-34.61711281","-58.38901967",1
